id,price,qty,quote_qty,time,is_buyer_maker,amount,open,high,low,close,volume
903516401,0.8528,870.0,741.936,2023-12-24 00:21:50,False,870.0,0.8529,0.8529,0.8529,0.8528,870.0
903523624,0.8507,2262.0,1924.2834,2023-12-24 00:33:57,False,2262.0,0.8528,0.8528,0.8528,0.8507,2262.0
903531520,0.8454,1250.0,1056.75,2023-12-24 00:40:06,True,1250.0,0.8507,0.8507,0.8507,0.8454,1250.0
903540562,0.8484,315.0,267.246,2023-12-24 00:56:43,True,315.0,0.8454,0.8454,0.8454,0.8484,315.0
903550236,0.8524,27435.0,23385.594,2023-12-24 01:19:53,True,27435.0,0.8484,0.8484,0.8484,0.8524,27435.0
903558410,0.8547,800.0,683.76,2023-12-24 01:33:49,False,800.0,0.8524,0.8524,0.8524,0.8547,800.0
903567754,0.8538,6942.0,5927.0796,2023-12-24 01:53:17,True,6942.0,0.8547,0.8547,0.8547,0.8538,6942.0
903577053,0.8602,2000.0,1720.4,2023-12-24 02:04:51,False,2000.0,0.8538,0.8538,0.8538,0.8602,2000.0
903584807,0.8628,1207.0,1041.3996,2023-12-24 02:15:06,False,1207.0,0.8602,0.8602,0.8602,0.8628,1207.0
903594188,0.8632,3409.0,2942.6488,2023-12-24 02:32:31,True,3409.0,0.8628,0.8628,0.8628,0.8632,3409.0
903602867,0.8555,932.0,797.326,2023-12-24 02:48:17,False,932.0,0.8632,0.8632,0.8632,0.8555,932.0
903613248,0.8595,985.0,846.6075,2023-12-24 03:13:04,False,985.0,0.8555,0.8555,0.8555,0.8595,985.0
903622762,0.8555,1168.0,999.224,2023-12-24 03:48:19,False,1168.0,0.8595,0.8595,0.8595,0.8555,1168.0
903631416,0.8624,12193.0,10515.2432,2023-12-24 04:06:23,False,12193.0,0.8555,0.8555,0.8555,0.8624,12193.0
903638727,0.8631,6225.0,5372.7975,2023-12-24 04:17:42,False,6225.0,0.8624,0.8624,0.8624,0.8631,6225.0
903646981,0.8595,176.0,151.272,2023-12-24 04:36:26,True,176.0,0.8631,0.8631,0.8631,0.8595,176.0
903655676,0.858,1165.0,999.57,2023-12-24 04:52:05,False,1165.0,0.8595,0.8595,0.8595,0.858,1165.0
903665172,0.8587,70.0,60.109,2023-12-24 05:09:20,True,70.0,0.858,0.858,0.858,0.8587,70.0
903675348,0.8549,2605.0,2227.0145,2023-12-24 05:35:15,True,2605.0,0.8587,0.8587,0.8587,0.8549,2605.0
903683720,0.8484,315.0,267.246,2023-12-24 05:38:39,True,315.0,0.8549,0.8549,0.8549,0.8484,315.0
903692625,0.84,1170.0,982.8,2023-12-24 05:40:47,True,1170.0,0.8484,0.8484,0.8484,0.84,1170.0
903699450,0.8363,13246.0,11077.6298,2023-12-24 05:41:17,False,13246.0,0.84,0.84,0.84,0.8363,13246.0
903708568,0.8456,5718.0,4835.1408,2023-12-24 05:47:19,True,5718.0,0.8363,0.8363,0.8363,0.8456,5718.0
903717788,0.8444,190.0,160.436,2023-12-24 05:59:54,True,190.0,0.8456,0.8456,0.8456,0.8444,190.0
903727135,0.8399,11501.0,9659.6899,2023-12-24 06:10:37,True,11501.0,0.8444,0.8444,0.8444,0.8399,11501.0
903736619,0.8415,4785.0,4026.5775,2023-12-24 06:17:38,True,4785.0,0.8399,0.8399,0.8399,0.8415,4785.0
903745054,0.836,574.0,479.864,2023-12-24 06:27:37,False,574.0,0.8415,0.8415,0.8415,0.836,574.0
903753041,0.8378,5648.0,4731.8944,2023-12-24 06:33:48,True,5648.0,0.836,0.836,0.836,0.8378,5648.0
903764959,0.84,7301.0,6132.84,2023-12-24 06:57:06,False,7301.0,0.8378,0.8378,0.8378,0.84,7301.0
903774536,0.8445,43189.0,36473.1105,2023-12-24 07:14:58,True,43189.0,0.84,0.84,0.84,0.8445,43189.0
903782198,0.847,520.0,440.44,2023-12-24 07:28:40,False,520.0,0.8445,0.8445,0.8445,0.847,520.0
903792169,0.8456,304.0,257.0624,2023-12-24 07:52:09,True,304.0,0.847,0.847,0.847,0.8456,304.0
903800326,0.8418,389644.0,328002.3192,2023-12-24 08:10:17,False,389644.0,0.8456,0.8456,0.8456,0.8418,389644.0
903809594,0.8422,826.0,695.6572,2023-12-24 08:34:06,False,826.0,0.8418,0.8418,0.8418,0.8422,826.0
903820797,0.8433,411.0,346.5963,2023-12-24 09:03:03,True,411.0,0.8422,0.8422,0.8422,0.8433,411.0
903830394,0.84,15000.0,12600.0,2023-12-24 09:25:59,True,15000.0,0.8433,0.8433,0.8433,0.84,15000.0
903841417,0.8466,476.0,402.9816,2023-12-24 09:53:18,False,476.0,0.84,0.84,0.84,0.8466,476.0
903851779,0.8441,2000.0,1688.2,2023-12-24 10:17:14,True,2000.0,0.8466,0.8466,0.8466,0.8441,2000.0
903858376,0.8396,4850.0,4072.06,2023-12-24 10:22:13,True,4850.0,0.8441,0.8441,0.8441,0.8396,4850.0
903866868,0.8385,890.0,746.265,2023-12-24 10:34:34,True,890.0,0.8396,0.8396,0.8396,0.8385,890.0
903876257,0.8327,41904.0,34893.4608,2023-12-24 10:41:45,False,41904.0,0.8385,0.8385,0.8385,0.8327,41904.0
903886472,0.8401,2140.0,1797.814,2023-12-24 10:58:57,False,2140.0,0.8327,0.8327,0.8327,0.8401,2140.0
903896834,0.8421,5936.0,4998.7056,2023-12-24 11:23:27,True,5936.0,0.8401,0.8401,0.8401,0.8421,5936.0
903907251,0.8439,582.0,491.1498,2023-12-24 11:53:45,False,582.0,0.8421,0.8421,0.8421,0.8439,582.0
903917741,0.8428,457.0,385.1596,2023-12-24 12:19:35,True,457.0,0.8439,0.8439,0.8439,0.8428,457.0
903927881,0.8452,2362.0,1996.3624,2023-12-24 12:48:03,False,2362.0,0.8428,0.8428,0.8428,0.8452,2362.0
903938488,0.8476,6046.0,5124.5896,2023-12-24 13:16:27,False,6046.0,0.8452,0.8452,0.8452,0.8476,6046.0
903947619,0.8479,1352.0,1146.3608,2023-12-24 13:39:23,False,1352.0,0.8476,0.8476,0.8476,0.8479,1352.0
903958146,0.8517,2920.0,2486.964,2023-12-24 14:06:31,True,2920.0,0.8479,0.8479,0.8479,0.8517,2920.0
903966474,0.8555,2259.0,1932.5745,2023-12-24 14:18:22,True,2259.0,0.8517,0.8517,0.8517,0.8555,2259.0
903974554,0.8515,1044.0,888.966,2023-12-24 14:35:10,True,1044.0,0.8555,0.8555,0.8555,0.8515,1044.0
903982487,0.8471,1319.0,1117.3249,2023-12-24 14:49:03,True,1319.0,0.8515,0.8515,0.8515,0.8471,1319.0
903990277,0.8458,684.0,578.5272,2023-12-24 14:56:09,True,684.0,0.8471,0.8471,0.8471,0.8458,684.0
904000469,0.8527,63.0,53.7201,2023-12-24 15:15:44,False,63.0,0.8458,0.8458,0.8458,0.8527,63.0
904009105,0.8555,323.0,276.3265,2023-12-24 15:35:21,False,323.0,0.8527,0.8527,0.8527,0.8555,323.0
904017102,0.8622,1000.0,862.2,2023-12-24 15:40:52,False,1000.0,0.8555,0.8555,0.8555,0.8622,1000.0
